Level,Name,PSGC Code
Reg,National Capital Region (NCR),1300000000
City,City of Caloocan,1380100000
Bgy,Barangay 1,1380100001
Bgy,Barangay 2,1380100002
Bgy,Barangay 3,1380100003
Bgy,Barangay 4,1380100004
Bgy,Barangay 5,1380100005
Bgy,Barangay 6,1380100006
Bgy,Barangay 7,1380100007
Bgy,Barangay 8,1380100008
Bgy,Barangay 9,1380100009
Bgy,Barangay 10,1380100010
Bgy,Barangay 11,1380100011
Bgy,Barangay 12,1380100012
Bgy,Barangay 13,1380100013
Bgy,Barangay 14,1380100014
Bgy,Barangay 15,1380100015
Bgy,Barangay 16,1380100016
Bgy,Barangay 17,1380100017
Bgy,Barangay 18,1380100018
Bgy,Barangay 19,1380100019
Bgy,Barangay 20,1380100020
Bgy,Barangay 21,1380100021
Bgy,Barangay 22,1380100022
Bgy,Barangay 23,1380100023
Bgy,Barangay 24,1380100024
Bgy,Barangay 25,1380100025
Bgy,Barangay 26,1380100026
Bgy,Barangay 27,1380100027
Bgy,Barangay 28,1380100028
Bgy,Barangay 29,1380100029
Bgy,Barangay 30,1380100030
Bgy,Barangay 31,1380100031
Bgy,Barangay 32,1380100032
Bgy,Barangay 33,1380100033
Bgy,Barangay 34,1380100034
Bgy,Barangay 35,1380100035
Bgy,Barangay 36,1380100036
Bgy,Barangay 37,1380100037
Bgy,Barangay 38,1380100038
Bgy,Barangay 39,1380100039
Bgy,Barangay 40,1380100040
Bgy,Barangay 41,1380100041
Bgy,Barangay 42,1380100042
Bgy,Barangay 43,1380100043
Bgy,Barangay 44,1380100044
Bgy,Barangay 45,1380100045
Bgy,Barangay 46,1380100046
Bgy,Barangay 47,1380100047
Bgy,Barangay 48,1380100048
Bgy,Barangay 49,1380100049
Bgy,Barangay 50,1380100050
Bgy,Barangay 51,1380100051
Bgy,Barangay 52,1380100052
Bgy,Barangay 53,1380100053
Bgy,Barangay 54,1380100054
Bgy,Barangay 55,1380100055
Bgy,Barangay 56,1380100056
Bgy,Barangay 57,1380100057
Bgy,Barangay 58,1380100058
Bgy,Barangay 59,1380100059
Bgy,Barangay 60,1380100060
Bgy,Barangay 61,1380100061
Bgy,Barangay 62,1380100062
Bgy,Barangay 63,1380100063
Bgy,Barangay 64,1380100064
Bgy,Barangay 65,1380100065
Bgy,Barangay 66,1380100066
Bgy,Barangay 67,1380100067
Bgy,Barangay 68,1380100068
Bgy,Barangay 69,1380100069
Bgy,Barangay 70,1380100070
Bgy,Barangay 71,1380100071
Bgy,Barangay 72,1380100072
Bgy,Barangay 73,1380100073
Bgy,Barangay 74,1380100074
Bgy,Barangay 75,1380100075
Bgy,Barangay 76,1380100076
Bgy,Barangay 77,1380100077
Bgy,Barangay 78,1380100078
Bgy,Barangay 79,1380100079
Bgy,Barangay 80,1380100080
Bgy,Barangay 81,1380100081
Bgy,Barangay 82,1380100082
Bgy,Barangay 83,1380100083
Bgy,Barangay 84,1380100084
Bgy,Barangay 85,1380100085
Bgy,Barangay 86,1380100086
Bgy,Barangay 87,1380100087
Bgy,Barangay 88,1380100088
Bgy,Barangay 89,1380100089
Bgy,Barangay 90,1380100090
Bgy,Barangay 91,1380100091
Bgy,Barangay 92,1380100092
Bgy,Barangay 93,1380100093
Bgy,Barangay 94,1380100094
Bgy,Barangay 95,1380100095
Bgy,Barangay 96,1380100096
Bgy,Barangay 97,1380100097
Bgy,Barangay 98,1380100098
Bgy,Barangay 99,1380100099
Bgy,Barangay 100,1380100100
Bgy,Barangay 101,1380100101
Bgy,Barangay 102,1380100102
Bgy,Barangay 103,1380100103
Bgy,Barangay 104,1380100104
Bgy,Barangay 105,1380100105
Bgy,Barangay 106,1380100106
Bgy,Barangay 107,1380100107
Bgy,Barangay 108,1380100108
Bgy,Barangay 109,1380100109
Bgy,Barangay 110,1380100110
Bgy,Barangay 111,1380100111
Bgy,Barangay 112,1380100112
Bgy,Barangay 113,1380100113
Bgy,Barangay 114,1380100114
Bgy,Barangay 115,1380100115
Bgy,Barangay 116,1380100116
Bgy,Barangay 117,1380100117
Bgy,Barangay 118,1380100118
Bgy,Barangay 119,1380100119
Bgy,Barangay 120,1380100120
Bgy,Barangay 121,1380100121
Bgy,Barangay 122,1380100122
Bgy,Barangay 123,1380100123
Bgy,Barangay 124,1380100124
Bgy,Barangay 125,1380100125
Bgy,Barangay 126,1380100126
Bgy,Barangay 127,1380100127
Bgy,Barangay 128,1380100128
Bgy,Barangay 129,1380100129
Bgy,Barangay 130,1380100130
Bgy,Barangay 131,1380100131
Bgy,Barangay 132,1380100132
Bgy,Barangay 133,1380100133
Bgy,Barangay 134,1380100134
Bgy,Barangay 135,1380100135
Bgy,Barangay 136,1380100136
